"Two_yr_Recidivismyes","Number_of_Priors","Age_Above_FourtyFiveyes","Age_Below_TwentyFiveyes","FemaleFemale","Misdemeanoryes","ethnicityAfrican_American","ethnicityAsian","ethnicityHispanic","ethnicityNative_American","ethnicityOther"
0,-0.209257854109627,1,0,0,0,0,0,0,0,0
1,-0.624090570565825,1,0,0,0,0,0,0,0,0
1,1.84643619458808,1,0,0,1,1,0,0,0,0
1,3.31121916790326,1,0,0,0,0,0,0,0,0
0,2.86748699509696,0,0,0,0,1,0,0,0,0
0,-0.757549698729347,0,0,0,0,0,0,0,0,0
1,-0.377588970632698,0,1,0,0,0,0,0,0,0
0,-0.590670860418915,0,0,0,0,0,0,0,0,0
0,-0.732950558830603,1,0,0,0,0,0,0,0,0
0,0.342985976528279,0,0,1,1,1,0,0,0,0
1,0.591420141522931,1,0,0,0,1,0,0,0,0
1,3.97268476694527,0,0,0,0,1,0,0,0,0
0,-0.541847797194445,0,0,0,0,0,0,0,0,0
0,-0.826239642746429,1,0,0,1,0,0,0,0,0
1,5.88713100267441,1,0,0,0,1,0,0,0,0
0,-0.00225021874287994,0,0,1,1,0,0,0,0,0
1,1.09972560215219,0,0,0,0,0,0,0,0,0
1,-0.460112876624976,0,1,0,0,1,0,0,0,0
0,-0.459089026044812,0,0,0,0,1,0,0,0,0
0,-0.140692390287495,0,0,0,0,1,0,0,0,0
0,-0.438344183140528,0,0,0,0,0,0,0,0,0
1,-0.534285018691332,0,0,0,0,1,0,0,0,0
1,-0.261594065205017,0,0,0,0,0,0,0,0,0
0,-0.725513017033562,1,0,1,0,1,0,0,0,0
1,0.614570623297674,0,0,0,0,1,0,0,0,0
1,0.905036798313396,0,0,0,0,1,0,0,0,0
1,-0.310888006406735,0,1,0,0,1,0,0,0,0
0,-0.017508437448151,0,0,0,1,1,0,0,0,0
0,-0.690094909129405,1,0,0,1,0,0,0,0,0
0,-0.40639006989993,0,0,0,0,1,0,0,0,0
0,-0.661769535238303,0,1,0,0,1,0,0,0,0
1,0.189086898619275,0,0,0,0,1,0,0,0,0
0,-0.805201991932216,1,0,0,0,0,0,0,0,0
0,-0.58101597240458,0,1,0,1,1,0,0,0,0
0,-0.482898478033319,0,0,0,0,1,0,0,0,0
0,-0.287103515580549,1,0,0,0,1,0,0,0,0
0,-0.669651342318854,0,0,1,1,1,0,0,0,0
1,-0.378864709570236,0,1,0,0,1,0,0,0,0
0,-0.740848342113467,1,0,1,1,1,0,0,0,0
0,-0.342682918987591,0,0,0,1,0,0,0,0,0
1,-0.512701164699552,0,0,1,1,1,0,0,0,0
1,0.343520740198214,0,0,0,0,1,0,0,0,0
1,0.218808819698518,1,0,1,0,1,0,0,0,0
1,0.415978897285797,0,0,0,0,1,0,0,0,0
1,-0.5276404543314,0,0,0,1,1,0,0,0,0
0,0.39501727731318,1,0,0,1,0,0,0,0,0
1,-0.371676306809818,0,1,0,0,0,0,0,0,0
1,-0.191570887422686,0,1,0,0,1,0,0,0,0
1,0.672338080544898,0,0,0,0,0,0,0,0,0
1,-0.554699198981853,0,0,0,1,0,0,0,0,0
0,0.734497089781713,1,0,0,1,1,0,0,0,0
1,-0.222113620360433,0,1,0,0,0,0,0,0,0
0,-0.648506032579365,0,0,1,0,0,0,0,0,0
0,-0.614601825291161,1,0,0,1,0,0,0,0,0
0,-1.00090774308037,1,0,0,0,1,0,0,0,0
0,-0.753490788177055,0,0,0,0,1,0,0,0,0
0,-0.665741517263538,1,0,1,0,0,0,0,0,0
0,-0.187173263820023,0,0,0,1,0,0,0,0,0
1,0.435608435831014,0,0,0,0,1,0,0,0,0
0,-0.514781298995474,0,0,0,0,1,0,0,0,0
1,-0.674709704732362,0,0,0,1,1,0,0,0,0
1,-0.355953343733592,0,1,0,0,1,0,0,0,0
0,-0.569485851892335,0,0,0,1,1,0,0,0,0
0,-0.42156452557481,1,0,1,0,0,0,0,0,0
0,-0.77381924782517,0,1,1,0,1,0,0,0,0
0,-0.55187388637182,0,0,1,0,1,0,0,0,0
1,-0.526140112391038,0,1,0,0,0,0,0,0,0
0,-0.500241259187693,1,0,0,0,0,0,0,0,0
1,0.863037881522022,0,0,0,0,1,0,0,0,0
0,-0.592654944094521,0,1,0,0,0,0,0,0,0
1,-0.268450132418088,0,0,0,0,0,0,0,0,0
0,-0.644277786808343,1,0,1,0,0,0,0,0,0
0,-0.672195278337126,1,0,0,0,0,0,0,0,0
0,-0.757432721178161,0,0,0,1,0,0,0,0,0
0,0.178968195966477,1,0,0,1,0,0,0,0,0
1,-0.496105003404637,0,1,0,0,1,0,0,0,0
0,0.168572971244713,0,0,1,0,0,0,0,0,0
0,0.985317975395445,0,0,0,0,1,0,0,0,0
0,-0.539620670159678,0,0,1,0,0,0,0,0,0
0,-0.505686459308404,0,0,0,0,1,0,0,0,0
1,1.10601595772998,0,0,0,0,0,0,0,0,0
0,-0.679600891972804,1,0,1,0,1,0,0,0,0
0,-0.270783543455606,1,0,0,0,1,0,0,0,0
0,-0.83694638619575,0,0,0,1,0,0,0,0,0
1,-0.138286557390775,0,0,0,0,0,0,0,0,0
0,0.09501093077764,0,0,0,0,1,0,0,0,0
1,0.109368961388308,0,1,0,1,0,0,0,0,0
0,-0.683194072306338,0,0,0,1,0,0,0,0,0
1,-0.319202515562611,0,1,1,1,1,0,0,0,0
0,-0.536360412173786,0,1,0,0,1,0,0,0,0
0,0.577935106516515,1,0,0,1,0,0,0,0,0
1,1.43316573030308,1,0,0,1,1,0,0,0,0
0,-0.609302460828133,0,1,0,0,0,0,0,0,0
1,0.491890218599854,0,1,0,0,1,0,0,0,0
1,-0.302781486015281,0,0,0,0,1,0,0,0,0
1,1.21209618987862,0,1,0,0,0,0,0,0,0
1,-0.596888315108488,0,0,0,1,0,0,0,0,0
0,-0.345589857080601,0,0,0,1,1,0,0,0,0
1,0.973820132384597,0,0,0,1,1,0,0,0,0
0,-0.728789298754618,1,0,1,0,1,0,0,0,0
0,-0.466277768112875,0,0,0,0,0,0,0,0,0
1,0.645954134880687,0,0,0,0,1,0,0,0,0
0,-0.289659912652986,0,0,0,0,1,0,0,0,0
0,-0.722320948723234,0,0,0,0,0,0,0,0,0
0,-0.185700129482425,0,0,0,1,1,0,0,0,0
0,-0.509242558403287,0,0,0,0,1,0,0,0,0
1,0.915776434865557,0,0,0,0,1,0,0,0,0
0,-0.865180797176057,0,0,0,0,0,0,0,0,0
0,-0.580165362718586,0,0,0,0,1,0,0,0,0
1,-0.17151423225747,1,0,0,0,0,0,0,0,0
0,0.935347696830476,0,0,0,1,1,0,0,0,0
0,-0.297190913454037,0,1,0,0,0,0,0,0,0
0,0.0515640299412327,0,0,0,1,1,0,0,0,0
0,-0.371814009763335,0,1,0,0,0,0,0,0,0
1,1.09819200077212,0,0,0,0,1,0,0,0,0
0,-0.47351137461037,0,0,0,0,0,0,0,0,0
0,-0.492256034907728,0,0,0,1,0,0,0,0,0
0,-0.462645590734482,0,0,0,0,0,0,0,0,0
1,0.981487608438911,0,1,0,0,1,0,0,0,0
1,-0.215939464058085,0,0,0,1,1,0,0,0,0
1,0.413069059320732,0,0,0,0,0,0,0,0,0
1,-0.180720513088813,0,1,0,0,0,0,0,0,0
1,-0.740311030537682,0,1,0,0,1,0,0,0,0
0,-0.413857356701167,0,0,1,0,1,0,0,0,0
1,-0.405318687030845,0,0,0,0,1,0,0,0,0
0,0.874150558235133,0,0,0,0,1,0,0,0,0
1,1.16795359689167,1,0,0,0,1,0,0,0,0
0,-0.638369435836086,0,0,0,1,1,0,0,0,0
0,-0.499787183056033,0,0,0,1,0,0,0,0,0
0,-0.267034111433918,0,0,1,1,1,0,0,0,0
0,-0.619650550636627,1,0,0,1,0,0,0,0,0
0,-0.0988002353439605,0,0,0,0,0,0,0,0,0
0,0.340004463602352,0,0,0,1,0,0,0,0,0
1,-0.0503684293943796,1,0,0,1,0,0,0,0,0
0,0.10329615402432,1,0,0,1,1,0,0,0,0
0,-0.533483475855368,0,0,1,1,1,0,0,0,0
0,3.37866587771564,0,0,0,0,1,0,0,0,0
1,0.0114063540145254,0,0,0,0,1,0,0,0,0
0,-0.474598346207713,0,0,1,1,0,0,0,0,0
1,1.31273743847518,0,0,0,0,1,0,0,0,0
0,-0.454284924551637,0,0,0,0,0,0,0,0,0
0,-0.290170266169792,0,0,0,0,1,0,0,0,0
0,-0.645112386065482,0,0,1,0,1,0,0,0,0
1,-0.665530717070489,0,0,0,1,1,0,0,0,0
0,-0.740769330727104,0,0,0,1,1,0,0,0,0
1,2.73525339905948,0,0,0,0,1,0,0,0,0
1,-0.538179943922114,0,0,0,1,0,0,0,0,0
1,2.66895387713042,1,0,0,0,1,0,0,0,0
0,0.505039565615145,0,0,0,0,1,0,0,0,0
0,-0.278974465339165,0,0,0,1,0,0,0,0,0
1,-0.464700302886209,0,0,0,1,1,0,0,0,0
1,-0.702842055241887,0,0,0,0,1,0,0,0,0
1,0.55445291302228,0,1,0,0,1,0,0,0,0
1,-0.380444512008251,0,1,0,0,1,0,0,0,0
1,-0.196875484982616,0,0,0,0,1,0,0,0,0
1,0.704373954334758,0,0,0,1,1,0,0,0,0
0,-0.390166355119744,0,0,0,0,0,0,0,0,0
1,0.85928330640715,0,0,0,0,1,0,0,0,0
0,-0.64916531388914,0,0,0,1,1,0,0,0,0
0,0.228500442867313,0,0,0,0,1,0,0,0,0
0,0.281761933666549,0,0,0,0,1,0,0,0,0
0,-0.540927207946268,0,1,0,0,1,0,0,0,0
1,1.02798665470521,1,0,0,1,1,0,0,0,0
0,-0.558681027365278,0,0,1,1,1,0,0,0,0
0,0.00977922135132869,1,0,0,0,1,0,0,0,0
1,-0.621840764955163,0,0,0,1,1,0,0,0,0
0,-0.644392492933797,0,0,0,0,0,0,0,0,0
0,-0.767632308179386,1,0,0,0,0,0,0,0,0
0,-0.778548413221176,0,0,0,0,1,0,0,0,0
0,-0.741512647649269,0,0,0,1,0,0,0,0,0
0,-0.599618227518266,0,0,1,0,0,0,0,0,0
1,0.308836535738947,1,0,1,0,0,0,0,0,0
1,1.3103291731943,0,0,0,1,1,0,0,0,0
1,0.890643300631857,1,0,1,0,0,0,0,0,0
1,-0.162663212240128,0,0,0,0,1,0,0,0,0
1,-0.589652997433056,0,0,1,1,1,0,0,0,0
0,-0.697873752143845,1,0,1,0,0,0,0,0,0
0,-0.596384123632131,1,0,0,1,0,0,0,0,0
0,1.23761234031959,0,0,0,1,1,0,0,0,0
0,-0.360800936812836,0,0,1,0,1,0,0,0,0
0,-0.542512951177896,1,0,0,0,1,0,0,0,0
0,-0.883382860585217,0,1,1,0,1,0,0,0,0
1,-0.195607844269582,0,0,1,0,1,0,0,0,0
1,0.228907803691393,0,0,1,0,1,0,0,0,0
0,1.62650038277414,1,0,0,0,1,0,0,0,0
1,0.292971306412246,0,1,1,1,0,0,0,0,0
0,0.175356323504045,0,0,0,0,1,0,0,0,0
0,-0.647781691336192,1,0,0,0,0,0,0,0,0
0,-0.689719341722968,0,0,1,0,0,0,0,0,0
0,-0.154006506312094,0,0,1,1,0,0,0,0,0
1,0.224185547085675,0,1,0,0,1,0,0,0,0
0,-0.737248281600691,1,0,0,1,1,0,0,0,0
1,0.651836798631648,0,0,0,1,1,0,0,0,0
0,0.121263141439083,1,0,1,0,0,0,0,0,0
1,0.830473522224249,1,0,0,1,1,0,0,0,0
0,-0.607308432986468,0,0,1,1,0,0,0,0,0
0,-0.480076964885275,0,0,0,0,1,0,0,0,0
0,-0.784219145638743,0,0,0,0,1,0,0,0,0
0,-0.551888507692671,1,0,0,0,0,0,0,0,0
0,-0.739204521680884,0,0,0,1,0,0,0,0,0
0,-0.456863942003868,0,1,0,0,1,0,0,0,0
1,-0.621369650904147,0,1,0,1,1,0,0,0,0
1,0.180292658994658,0,1,0,0,0,0,0,0,0
0,-0.790287431195753,0,0,0,0,1,0,0,0,0
0,0.444619108136962,0,0,1,0,0,0,0,0,0
1,0.451880130709976,0,0,0,0,1,0,0,0,0
1,-0.676093527370214,0,0,0,0,1,0,0,0,0
1,0.9265609979396,0,0,0,0,1,0,0,0,0
0,2.27825715486854,0,0,0,0,1,0,0,0,0
1,1.87369532638624,0,1,0,1,1,0,0,0,0
0,-0.207957883003559,0,1,1,0,1,0,0,0,0
0,0.76149432718245,1,0,0,0,0,0,0,0,0
0,-0.155461608390413,0,0,1,0,0,0,0,0,0
1,0.319812551747141,0,0,0,1,0,0,0,0,0
1,3.44711578723489,1,0,0,0,1,0,0,0,0
0,1.35380749324427,1,0,1,1,1,0,0,0,0
1,1.3596002108131,0,0,0,1,1,0,0,0,0
0,-0.213916152580017,0,0,0,1,0,0,0,0,0
0,-0.00987646946600773,1,0,0,0,1,0,0,0,0
1,3.59411040613882,0,0,0,0,1,0,0,0,0
0,-0.496615222848444,0,0,0,1,0,0,0,0,0
1,2.05437228914568,0,0,0,0,1,0,0,0,0
1,0.6068943935761,0,1,0,0,1,0,0,0,0
0,-0.569303006678328,0,0,0,0,1,0,0,0,0
0,-0.48557787289188,0,0,0,1,1,0,0,0,0
1,-0.493459065077793,0,0,0,0,1,0,0,0,0
0,-0.299702135292951,0,0,0,1,0,0,0,0,0
1,4.16947070804059,1,0,0,0,1,0,0,0,0
1,1.40518054373001,0,0,1,1,1,0,0,0,0
0,-0.681644315512167,0,0,1,0,0,0,0,0,0
0,-0.689522592365266,1,0,1,1,0,0,0,0,0
0,0.0644857305215109,0,0,0,0,1,0,0,0,0
1,-0.40003567820118,0,0,0,1,1,0,0,0,0
1,0.381376943784913,0,0,0,1,0,0,0,0,0
1,-0.667125597288083,0,1,0,0,0,0,0,0,0
0,-0.565333388827873,0,1,0,0,1,0,0,0,0
1,0.266934473792669,0,0,0,1,1,0,0,0,0
1,-0.577510941158049,0,0,0,0,1,0,0,0,0
0,-0.478697455507491,0,1,0,0,1,0,0,0,0
0,0.0224069430604222,0,0,0,0,1,0,0,0,0
0,-0.677632409451176,0,0,0,1,1,0,0,0,0
0,-0.840846750407444,0,0,0,1,1,0,0,0,0
0,-0.661060066070981,1,0,0,1,0,0,0,0,0
1,-0.680966739354025,0,0,0,0,1,0,0,0,0
1,-0.227341888661293,1,0,1,1,1,0,0,0,0
0,-0.322252345809733,0,0,0,0,0,0,0,0,0
1,1.45214397454634,0,0,0,0,1,0,0,0,0
1,-0.344577428892769,0,1,0,0,1,0,0,0,0
1,0.128515319956613,0,1,0,0,1,0,0,0,0
0,-0.553036912285283,0,1,0,0,1,0,0,0,0
0,0.249016542577933,0,0,1,0,1,0,0,0,0
0,-0.0292772271805261,0,0,1,0,1,0,0,0,0
1,0.937215259171535,0,0,0,0,1,0,0,0,0
1,-0.324152540901573,0,0,0,0,1,0,0,0,0
1,0.020443532447464,0,1,0,0,0,0,0,0,0
1,-0.528069112900514,0,1,0,1,1,0,0,0,0
0,0.0924090624948704,0,0,0,0,1,0,0,0,0
0,0.723174345672915,1,0,1,0,1,0,0,0,0
0,0.412608509252744,0,0,0,1,1,0,0,0,0
0,-0.714516208766826,0,1,0,1,1,0,0,0,0
1,0.130499052865015,0,0,0,1,1,0,0,0,0
0,0.0637411232399594,0,0,0,0,1,0,0,0,0
0,-0.323361513637952,0,0,1,1,1,0,0,0,0
0,-0.841835510913778,1,0,1,0,0,0,0,0,0
0,0.874785663151238,0,0,0,0,1,0,0,0,0
0,-0.31713576888093,1,0,0,0,1,0,0,0,0
1,-0.363193752209729,0,1,0,0,0,0,0,0,0
1,1.27331981835754,1,0,0,0,1,0,0,0,0
0,-0.174709446022486,0,0,0,0,0,0,0,0,0
1,0.156160780876173,0,0,0,0,1,0,0,0,0
1,-0.168374670167843,0,1,0,1,1,0,0,0,0
0,0.239989303205095,1,0,0,1,0,0,0,0,0
1,2.88555857448473,0,0,0,0,1,0,0,0,0
0,-0.686402411136743,1,0,1,1,0,0,0,0,0
0,-0.149209436296972,0,1,1,0,0,0,0,0,0
1,0.606536302414477,1,0,0,1,0,0,0,0,0
0,-0.143503469696315,0,0,0,0,1,0,0,0,0
1,-0.237753400340825,0,1,0,0,1,0,0,0,0
0,-0.678271150298804,1,0,0,0,1,0,0,0,0
0,3.62057534033403,0,0,0,0,1,0,0,0,0
1,0.295152354367068,0,1,1,0,0,0,0,0,0
0,-0.626030398563228,0,0,1,1,0,0,0,0,0
1,1.91271533308491,0,0,0,0,1,0,0,0,0
1,1.88047023894106,0,0,0,0,0,0,0,0,0
1,2.55484052269576,1,0,1,1,1,0,0,0,0
1,-0.0623579506680657,1,0,0,0,0,0,0,0,0
0,-0.270763861461166,1,0,0,0,0,0,0,0,0
0,-0.829639113816875,0,0,0,0,0,0,0,0,0
0,-0.391511955608149,0,0,1,0,1,0,0,0,0
1,0.206283198503911,0,0,1,0,0,0,0,0,0
0,-0.524696834235079,0,0,0,1,1,0,0,0,0
0,-0.926187218552118,0,0,0,0,0,0,0,0,0
1,-0.435743950030272,0,0,0,0,1,0,0,0,0
1,-0.375623554129559,0,0,0,0,1,0,0,0,0
0,-0.386827283331509,0,1,0,1,0,0,0,0,0
0,-0.737924089319002,1,0,1,1,0,0,0,0,0
0,-0.819832798316095,0,1,1,0,1,0,0,0,0
0,-0.753849683890316,1,0,0,0,0,0,0,0,0
0,0.188479303569377,0,0,0,1,0,0,0,0,0
1,-0.68367845028688,0,0,0,0,1,0,0,0,0
1,1.43078757533435,0,0,0,1,1,0,0,0,0
0,-0.599874083922415,0,1,0,0,0,0,0,0,0
0,0.750425520556577,0,0,0,1,1,0,0,0,0
1,-0.723726560376484,0,1,0,0,1,0,0,0,0
0,-0.719014065242755,0,0,0,0,0,0,0,0,0
0,-0.414151136077377,0,0,1,1,0,0,0,0,0
0,-0.310601759529263,0,1,0,1,0,0,0,0,0
0,-0.498018369027748,1,0,0,0,1,0,0,0,0
0,-0.768352141966444,0,1,0,0,1,0,0,0,0
0,-0.200693511975795,0,0,1,0,0,0,0,0,0
1,0.924001340574132,0,0,0,1,0,0,0,0,0
1,0.679901290894135,0,0,0,0,1,0,0,0,0
1,1.29875550608707,0,0,0,0,1,0,0,0,0
1,0.155454976914051,0,0,0,0,1,0,0,0,0
0,-0.673385943522756,0,0,0,1,0,0,0,0,0
1,0.12179452272251,0,1,0,0,1,0,0,0,0
1,1.14830596767232,0,0,0,0,1,0,0,0,0
0,-0.306353596601111,0,0,1,0,1,0,0,0,0
1,1.49939778083128,1,0,0,0,1,0,0,0,0
1,0.307058258475164,0,1,1,0,1,0,0,0,0
0,-0.719413940492162,0,0,0,0,1,0,0,0,0
1,7.57079592765321,1,0,0,0,1,0,0,0,0
1,-0.358075657452815,1,0,0,0,1,0,0,0,0
1,0.688156515760604,0,0,0,1,0,0,0,0,0
0,-0.396923706600181,1,0,0,0,0,0,0,0,0
1,1.83302559402265,0,0,0,1,1,0,0,0,0
0,1.11123515896333,0,0,0,0,1,0,0,0,0
1,0.807583753068463,0,0,0,0,1,0,0,0,0
0,-0.0745535116432036,0,0,0,0,0,0,0,0,0
0,0.33628494916824,0,0,0,1,1,0,0,0,0
1,1.0852289479928,0,0,0,0,1,0,0,0,0
0,-0.252896838974213,1,0,1,1,0,0,0,0,0
0,0.0455318839940632,1,0,0,0,1,0,0,0,0
1,0.305485900401872,0,0,0,1,1,0,0,0,0
0,0.148603568425237,1,0,0,0,1,0,0,0,0
1,0.100058032983215,0,0,0,1,1,0,0,0,0
1,1.22771890061538,0,0,0,0,1,0,0,0,0
0,-0.378810800468097,1,0,1,1,0,0,0,0,0
1,-0.608192106653813,0,1,0,0,1,0,0,0,0
0,-0.847843766241819,0,0,0,0,0,0,0,0,0
0,-0.537510148822891,1,0,0,0,0,0,0,0,0
1,-0.686665474174453,0,1,0,0,1,0,0,0,0
0,-0.515404236276345,0,1,1,0,1,0,0,0,0
0,-0.131572979802497,1,0,0,1,1,0,0,0,0
0,-0.334798034272402,0,0,0,0,0,0,0,0,0
0,-0.617880868996167,0,0,0,1,1,0,0,0,0
1,4.31703379151265,1,0,0,0,0,0,0,0,0
1,-0.306984874983573,1,0,0,0,0,0,0,0,0
1,-0.159329111615457,0,0,0,0,0,0,0,0,0
0,-0.803604164275111,1,0,0,1,0,0,0,0,0
0,-0.104913132694453,1,0,0,1,0,0,0,0,0
1,2.46816314695209,0,0,0,0,1,0,0,0,0
0,-0.716295602713333,0,0,0,1,0,0,0,0,0
1,-0.0409213094578841,0,0,0,1,1,0,0,0,0
0,-0.507334873396612,1,0,0,0,1,0,0,0,0
